,6040,all-weather (original),all-weather (star),risk_parity (tier 2),risk_parity (tier 3),hrp (tier 2),hrp (tier 3),hrp_dd (tier 2),hrp_dd (tier 3),hrp_beta (tier 2),hrp_beta (tier 3),hrp_val (tier 2),hrp_val (tier 3),hrp_strc (tier 2)
1998-07-31,376.2963168038813,21.026746014107445,1.0,19.18089823855013,,12.342717079300343,,19.22811645063692,,16.448036600666402,,15.31500340953226,,14.546830652460674
1998-08-31,347.8420157434029,20.321259982803817,1.0,18.378174530459642,,11.96250663607368,,18.098813073534025,,15.936320363836458,,14.713869980907292,,13.76790834624729
1998-09-30,368.2594769756696,21.499647469498335,1.0,18.91030545043906,,12.471634974961342,,18.584683407561478,,16.46250548922152,,15.2582896036493,,14.324124259233752
1998-10-31,383.8928607559375,21.814721878412513,1.0,19.08683982394652,,12.460252735721992,,18.98518548377876,,16.62715893009425,,15.285245083245336,,14.506358698018012
1998-11-30,397.34112814499485,22.088704880294408,1.0,19.31986445907134,,12.468870350474067,,19.343948928601186,,16.83700509312614,,15.496727760380358,,14.831926220039048
1998-12-31,413.08458396237234,22.579928599588,1.0,19.235547047024042,,12.168426567338754,,19.494708250972298,,16.81623411211729,,15.391369649830485,,14.782758591071332
1999-01-31,423.9641405769935,22.87197188916499,1.0100698474591971,19.451966185818016,,12.267992383085783,,19.772694910163427,,17.041626168722953,,15.521310683546606,,15.007368414576606
1999-02-28,408.91082292232505,22.060594380878324,0.9752091729556862,19.222570206055806,,12.127680980254873,,19.58402562435593,,16.916996861788277,,15.315769256795958,,14.816750192204148
1999-03-31,420.096321569983,22.588183539921488,0.992437550710197,19.75072213352583,,12.486788538502744,,20.22139591091409,,17.448081983421964,,15.9506547181647,,15.568114536481922
1999-04-30,429.5618204730182,22.906654897622808,1.0072995419247612,20.3037805087301,,12.797557941020298,,20.821253096617617,,17.978604573077476,,16.422004719812165,,16.138370933974926
1999-05-31,420.5995772759494,22.346142460913327,0.9868785792407982,19.74276758838958,,12.466277577642545,,20.257008438807134,,17.514431198060386,,15.855085566455521,,15.608945562512604
1999-06-30,434.0158021416268,22.727389170750612,1.0074793007278968,19.86222285010058,,12.445645854867875,,20.507308443274653,,17.634636044819793,,16.126914438146883,,16.123888377764345
1999-07-31,424.8090892626939,22.441218814855436,0.9967718115645094,19.764155865192677,,12.44015804013344,,20.356384309858832,,17.5923890358354,,16.119254802129657,,16.084493022758117
1999-08-31,423.55217418956676,22.504705336668117,0.9975878069986428,19.78734798304407,,12.43225455711006,,20.39988753097022,,17.542936124191662,,16.207240088508247,,16.20200548002223
1999-09-30,417.88452619024514,22.776224652096406,1.00999706003655,20.20416818910613,,12.835884856171388,,20.554936949342657,,17.842680554458916,,16.937696064507673,,16.412210432263077
1999-10-31,433.7956008423394,23.10448408591577,1.020806033688059,20.32659930679536,,12.809256557305337,,20.77823903628158,,18.01819388838053,,16.977231645299497,,16.65463834726584
1999-11-30,438.3909563891076,23.191124226492338,1.0288893370629395,20.665642185588695,,12.934284093380592,,21.238269786195993,,18.332461858477796,,17.236597505609218,,17.14006098470202
1999-12-31,452.771667183736,23.519252261437163,1.0571148535596822,21.195960855903586,,13.148276950850969,,21.865822336319674,,18.829362251419617,,17.636828161386454,,17.832880026506917
2000-01-31,437.0726250126413,23.0628891018285,1.039607720398302,20.831461834457265,,13.0144954788144,,21.31626939967959,,18.48695325415091,,17.382326498681568,,17.54780134372551
2000-02-29,436.6264024984822,23.36911854075469,1.0650834305568455,21.227850124089112,,13.18052074921731,,21.562118612306648,,18.70821063003294,,17.814400729848337,,17.836417826348818
2000-03-31,467.71705627706496,24.36456511852171,1.0954805699427608,21.560048724966812,,13.323696626400434,,22.174918769762602,,19.165745536516667,,17.804819508258287,,18.164797279471514
2000-04-30,457.5318482435779,23.981937835902777,1.0681517330354637,21.289053984093748,,13.214169900570717,,21.835897716059502,,18.956419146141574,,17.574466542976865,,17.893229835994692
